timestamp,location,latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,soil_moisture_percent,river_level_m,river_rise_rate_m_per_hr,elevation_m,slope_degrees,distance_from_river_km,population,households,hospitals,schools,shelters,flood,severity,risk_score
2026-06-01 00:00:00,Agasthyamalai,8.64911,77.35917,0.0,15.84,29.94,50.64,54.75,1.51,0.009,1102.8,43.04,1.1,2588.0,619.0,1.0,2.0,3.0,0,LOW,31.56
2026-06-01 00:00:00,Anamalai Foothills,10.551006,76.919621,3.04,20.9,35.56,63.62,50.49,1.37,0.003,699.4,26.99,0.48,6997.0,1661.0,3.0,6.0,5.0,0,LOW,27.6
2026-06-01 00:00:00,Biligiriranga Hills,11.946526,77.151641,5.9,5.05,18.62,41.53,44.63,1.2,0.033,1310.8,33.3,1.19,3445.0,842.0,1.0,2.0,3.0,0,SAFE,17.97
2026-06-01 00:00:00,Javadi Hills,12.498833,78.94902,11.91,24.1,33.35,51.77,49.47,1.47,0.051,916.9,21.78,1.77,4655.0,1118.0,1.0,3.0,2.0,0,LOW,23.13
2026-06-01 00:00:00,Kalrayan Hills,11.717462,78.851742,0.0,12.39,25.05,52.58,47.99,1.5,0.0,828.8,23.09,1.49,5238.0,1217.0,1.0,3.0,3.0,0,LOW,24.32
2026-06-01 00:00:00,Kodaikanal Hills,10.23696,77.488871,2.33,13.09,33.41,77.12,62.22,1.37,0.037,2064.4,31.77,2.49,6765.0,1630.0,1.0,5.0,3.0,0,LOW,27.72
2026-06-01 00:00:00,Kolli Hills,11.247939,78.339017,8.95,28.27,42.23,68.8,56.31,1.43,0.011,1161.9,37.04,0.95,5264.0,1269.0,1.0,6.0,3.0,0,LOW,24.06
2026-06-01 00:00:00,Kurinji Nagar,11.181757,76.9499,9.95,27.3,30.05,57.71,51.03,1.3,0.039,964.6,29.76,0.84,4204.0,1029.0,1.0,3.0,3.0,0,LOW,24.44
2026-06-01 00:00:00,Meghamalai,9.681639,77.351431,6.72,21.34,27.41,61.64,49.4,1.42,0.078,1424.8,30.44,1.17,2806.0,694.0,1.0,2.0,2.0,0,LOW,29.41
2026-06-01 00:00:00,Mullai Valley,11.240824,77.020371,12.21,35.75,45.61,67.69,48.21,1.27,0.095,1231.5,33.26,1.22,3168.0,749.0,1.0,3.0,1.0,0,LOW,27.54
2026-06-01 00:00:00,Munnar Hills,10.090982,77.062898,1.2,17.83,23.71,67.07,52.7,1.41,0.0,1560.2,39.7,0.36,7366.0,1776.0,1.0,7.0,4.0,0,LOW,34.16
2026-06-01 00:00:00,Nilgiri Foothills,11.377923,76.747504,6.89,15.15,22.68,48.21,45.49,1.39,0.037,1060.2,36.7,0.61,5565.0,1341.0,2.0,4.0,2.0,0,LOW,30.42
2026-06-01 00:00:00,Pachamalai,11.301179,78.650229,1.49,1.08,9.59,41.92,41.58,1.01,0.096,815.7,20.7,1.62,4495.0,1125.0,1.0,3.0,2.0,0,SAFE,20.35
2026-06-01 00:00:00,Sathyamangalam Hills,11.507558,77.250958,6.75,20.26,27.84,67.91,54.79,1.57,0.053,638.9,16.11,2.54,6078.0,1437.0,2.0,6.0,3.0,0,SAFE,21.89
2026-06-01 00:00:00,Shevaroy Hills,11.660134,78.158655,0.0,18.18,27.35,58.05,49.83,1.33,0.002,1366.7,31.6,0.94,5746.0,1314.0,1.0,5.0,3.0,0,LOW,25.01
2026-06-01 00:00:00,Sirumalai,10.24002,77.551558,4.33,11.17,32.85,70.25,53.28,1.42,0.054,1129.8,31.62,1.3,3581.0,835.0,2.0,4.0,2.0,0,LOW,25.01
2026-06-01 00:00:00,Thalamalai,11.700816,77.101534,9.95,28.19,43.46,83.6,56.29,1.52,0.076,996.4,32.23,0.75,3005.0,748.0,1.0,2.0,2.0,0,LOW,24.96
2026-06-01 00:00:00,Valparai,10.327943,76.946259,7.06,18.88,25.91,71.78,54.51,1.47,0.025,1377.0,40.99,0.54,6243.0,1517.0,2.0,5.0,2.0,0,LOW,36.61
2026-06-01 00:00:00,Yelagiri,12.580448,78.630494,5.17,14.29,24.78,60.58,51.2,1.1,0.039,1021.5,25.39,1.71,3905.0,929.0,1.0,3.0,2.0,0,LOW,31.45
2026-06-01 00:00:00,Yercaud,11.781819,78.208917,10.62,24.79,46.27,81.43,58.55,1.47,0.019,1468.6,31.44,0.9,4920.0,1177.0,2.0,5.0,3.0,0,LOW,34.64
2026-06-01 01:00:00,Agasthyamalai,8.648478,77.347484,4.67,18.92,24.87,44.17,46.9,1.65,0.158,1104.5,41.89,1.13,2729.0,679.0,1.0,2.0,2.0,0,LOW,28.41
2026-06-01 01:00:00,Anamalai Foothills,10.547897,76.918912,2.87,9.83,27.88,46.0,45.11,1.61,0.312,723.4,22.9,0.39,7099.0,1662.0,3.0,5.0,4.0,0,LOW,26.54
2026-06-01 01:00:00,Biligiriranga Hills,11.951484,77.147231,14.82,15.85,19.65,41.0,36.34,1.35,0.226,1286.8,35.01,1.16,3365.0,820.0,1.0,3.0,2.0,0,LOW,29.55
2026-06-01 01:00:00,Javadi Hills,12.498386,78.951934,0.93,18.99,31.48,45.31,46.63,1.73,0.311,886.7,22.5,2.07,4596.0,1086.0,1.0,4.0,3.0,0,LOW,30.83
2026-06-01 01:00:00,Kalrayan Hills,11.722136,78.850912,0.21,6.63,18.05,35.47,37.18,1.58,0.081,884.1,26.19,1.76,5225.0,1204.0,2.0,5.0,4.0,0,LOW,25.16
